tanggal,provinsi,komoditas,harga,harga_nasional,gap_dari_nasional,gap_pct,perubahan_harian,rolling_7d,rolling_30d,volatilitas_7d,tahun,bulan,minggu,hari,status_pasokan
2026-01-19,Sumatera Utara,Beras Medium I,15250.0,15836.363636363636,-586.363636363636,-3.7,0.0,15228.57142857143,15215.384615384615,26.726124191242793,2026,1,4,0,NORMAL
2026-01-20,Sumatera Utara,Beras Medium I,15250.0,15836.363636363636,-586.363636363636,-3.7,0.0,15235.714285714286,15217.857142857143,24.397501823713508,2026,1,4,1,NORMAL
2026-01-21,Sumatera Utara,Beras Medium I,15200.0,15834.848484848484,-634.8484848484841,-4.01,-50.0,15235.714285714286,15216.666666666666,24.397501823713508,2026,1,4,2,NORMAL
2026-01-22,Sumatera Utara,Beras Medium I,15200.0,15834.848484848484,-634.8484848484841,-4.01,0.0,15235.714285714286,15215.625,24.397501823713508,2026,1,4,3,NORMAL
2026-01-23,Sumatera Utara,Beras Medium I,15150.0,15845.454545454546,-695.454545454546,-4.39,-50.0,15221.42857142857,15211.764705882353,39.33978962347258,2026,1,4,4,NORMAL
2026-01-26,Sumatera Utara,Beras Medium I,15150.0,15843.939393939394,-693.939393939394,-4.38,0.0,15207.142857142857,15208.333333333334,44.986770542122684,2026,1,5,0,NORMAL
2026-01-27,Sumatera Utara,Beras Medium I,15150.0,15846.969696969696,-696.9696969696961,-4.4,0.0,15192.857142857143,15205.263157894737,44.98677054212332,2026,1,5,1,NORMAL
2026-01-28,Sumatera Utara,Beras Medium I,15200.0,15850.0,-650.0,-4.1,50.0,15185.714285714286,15205.0,37.79644730092489,2026,1,5,2,NORMAL
2026-01-29,Sumatera Utara,Beras Medium I,15200.0,15850.0,-650.0,-4.1,0.0,15178.57142857143,15204.761904761905,26.726124191246335,2026,1,5,3,NORMAL
2026-01-30,Sumatera Utara,Beras Medium I,15200.0,15868.181818181818,-668.181818181818,-4.21,0.0,15178.57142857143,15204.545454545454,26.726124191246335,2026,1,5,4,NORMAL
2026-02-02,Sumatera Utara,Beras Medium I,15200.0,15872.727272727272,-672.7272727272721,-4.24,0.0,15178.57142857143,15204.347826086956,26.726124191246335,2026,2,6,0,NORMAL
2026-02-03,Sumatera Utara,Beras Medium I,15200.0,15865.151515151516,-665.1515151515159,-4.19,0.0,15185.714285714286,15204.166666666666,24.397501823716812,2026,2,6,1,NORMAL
2026-02-04,Sumatera Utara,Beras Medium I,15200.0,15880.30303030303,-680.30303030303,-4.28,0.0,15192.857142857143,15204.0,18.89822365046478,2026,2,6,2,NORMAL
2026-02-05,Sumatera Utara,Beras Medium I,15100.0,15868.181818181818,-768.181818181818,-4.84,-100.0,15185.714285714286,15200.0,37.79644730092489,2026,2,6,3,NORMAL
2026-02-06,Sumatera Utara,Beras Medium I,15100.0,15866.666666666666,-766.6666666666661,-4.83,0.0,15171.42857142857,15196.296296296296,48.79500364742917,2026,2,6,4,NORMAL
2026-02-09,Sumatera Utara,Beras Medium I,15050.0,15869.69696969697,-819.69696969697,-5.17,-50.0,15150.0,15191.07142857143,64.54972243679308,2026,2,7,0,SURPLUS
2026-02-10,Sumatera Utara,Beras Medium I,14950.0,15869.69696969697,-919.69696969697,-5.8,-100.0,15114.285714285714,15182.758620689656,94.49111825230926,2026,2,7,1,SURPLUS
2026-02-11,Sumatera Utara,Beras Medium I,14950.0,15866.666666666666,-916.6666666666661,-5.78,0.0,15078.57142857143,15175.0,103.50983390135589,2026,2,7,2,SURPLUS
2026-02-12,Sumatera Utara,Beras Medium I,14950.0,15874.242424242424,-924.242424242424,-5.82,0.0,15042.857142857143,15168.333333333334,97.59000729485648,2026,2,7,3,SURPLUS
2026-02-13,Sumatera Utara,Beras Medium I,14950.0,15881.818181818182,-931.818181818182,-5.87,0.0,15007.142857142857,15161.666666666666,73.19250547114466,2026,2,7,4,SURPLUS
2026-02-16,Sumatera Utara,Beras Medium I,14950.0,15880.30303030303,-930.30303030303,-5.86,0.0,14985.714285714286,15153.333333333334,62.67831705280678,2026,2,8,0,SURPLUS
2026-02-17,Sumatera Utara,Beras Medium I,14950.0,15880.30303030303,-930.30303030303,-5.86,0.0,14964.285714285714,15145.0,37.796447300933075,2026,2,8,1,SURPLUS
2026-02-18,Sumatera Utara,Beras Medium I,14950.0,15883.333333333334,-933.3333333333339,-5.88,0.0,14950.0,15135.0,2.8810857290578723e-05,2026,2,8,2,SURPLUS
2026-02-19,Sumatera Utara,Beras Medium I,14950.0,15884.848484848484,-934.8484848484841,-5.89,0.0,14950.0,15125.0,2.8810857290578723e-05,2026,2,8,3,SURPLUS
2026-02-20,Sumatera Utara,Beras Medium I,14900.0,15880.30303030303,-980.30303030303,-6.17,-50.0,14942.857142857143,15115.0,18.898223650484123,2026,2,8,4,SURPLUS
2026-02-23,Sumatera Utara,Beras Medium I,14950.0,15892.424242424242,-942.424242424242,-5.93,50.0,14942.857142857143,15106.666666666666,18.898223650484123,2026,2,9,0,SURPLUS
2026-02-24,Sumatera Utara,Beras Medium I,14950.0,15892.424242424242,-942.424242424242,-5.93,0.0,14942.857142857143,15098.333333333334,18.898223650484123,2026,2,9,1,SURPLUS
2026-02-25,Sumatera Utara,Beras Medium I,14950.0,15887.878787878788,-937.878787878788,-5.9,0.0,14942.857142857143,15088.333333333334,18.898223650484123,2026,2,9,2,SURPLUS
2026-02-26,Sumatera Utara,Beras Medium I,14950.0,15889.39393939394,-939.39393939394,-5.91,0.0,14942.857142857143,15078.333333333334,18.898223650484123,2026,2,9,3,SURPLUS
2026-02-27,Sumatera Utara,Beras Medium I,14800.0,15887.878787878788,-1087.878787878788,-6.85,-150.0,14921.42857142857,15063.333333333334,56.694670951392865,2026,2,9,4,SURPLUS
2026-03-02,Sumatera Utara,Beras Medium I,14800.0,15840.90909090909,-1040.90909090909,-6.57,0.0,14900.0,15048.333333333334,70.71067811866261,2026,3,10,0,SURPLUS
2026-03-03,Sumatera Utara,Beras Medium I,14800.0,15884.848484848484,-1084.848484848484,-6.83,0.0,14885.714285714286,15033.333333333334,80.17837257373466,2026,3,10,1,SURPLUS
2026-03-04,Sumatera Utara,Beras Medium I,14800.0,15890.90909090909,-1090.90909090909,-6.86,0.0,14864.285714285714,15020.0,80.17837257373557,2026,3,10,2,SURPLUS
2026-03-05,Sumatera Utara,Beras Medium I,14800.0,15892.424242424242,-1092.424242424242,-6.87,0.0,14842.857142857143,15006.666666666666,73.19250547115014,2026,3,10,3,SURPLUS
2026-03-06,Sumatera Utara,Beras Medium I,14800.0,15887.878787878788,-1087.878787878788,-6.85,0.0,14821.42857142857,14995.0,56.6946709513987,2026,3,10,4,SURPLUS
2026-03-09,Sumatera Utara,Beras Medium I,14850.0,15887.878787878788,-1037.878787878788,-6.53,50.0,14807.142857142857,14985.0,18.898223650507735,2026,3,11,0,SURPLUS
2026-03-10,Sumatera Utara,Beras Medium I,14850.0,15887.878787878788,-1037.878787878788,-6.53,0.0,14814.285714285714,14975.0,24.397501823748087,2026,3,11,1,SURPLUS
2026-03-11,Sumatera Utara,Beras Medium I,14850.0,15895.454545454546,-1045.454545454546,-6.58,0.0,14821.42857142857,14963.333333333334,26.726124191273303,2026,3,11,2,SURPLUS
2026-03-12,Sumatera Utara,Beras Medium I,14850.0,15910.60606060606,-1060.60606060606,-6.67,0.0,14828.57142857143,14951.666666666666,26.726124191272394,2026,3,11,3,SURPLUS
2026-03-13,Sumatera Utara,Beras Medium I,14850.0,15912.121212121212,-1062.121212121212,-6.67,0.0,14835.714285714286,14940.0,24.39750182374536,2026,3,11,4,SURPLUS
2026-03-16,Sumatera Utara,Beras Medium I,14850.0,15924.242424242424,-1074.242424242424,-6.75,0.0,14842.857142857143,14928.333333333334,18.89822365050163,2026,3,12,0,SURPLUS
2026-03-17,Sumatera Utara,Beras Medium I,14850.0,15934.848484848484,-1084.848484848484,-6.81,0.0,14850.0,14916.666666666666,3.862282865557491e-05,2026,3,12,1,SURPLUS
2026-03-18,Sumatera Utara,Beras Medium I,14850.0,15931.818181818182,-1081.818181818182,-6.79,0.0,14850.0,14905.0,3.862282865557491e-05,2026,3,12,2,SURPLUS
2026-03-19,Sumatera Utara,Beras Medium I,14850.0,15930.30303030303,-1080.30303030303,-6.78,0.0,14850.0,14896.666666666666,3.862282865557491e-05,2026,3,12,3,SURPLUS
2026-03-20,Sumatera Utara,Beras Medium I,14850.0,15931.818181818182,-1081.818181818182,-6.79,0.0,14850.0,14888.333333333334,3.862282865557491e-05,2026,3,12,4,SURPLUS
2026-03-23,Sumatera Utara,Beras Medium I,14850.0,15933.333333333334,-1083.333333333334,-6.8,0.0,14850.0,14881.666666666666,3.862282865557491e-05,2026,3,13,0,SURPLUS
2026-03-24,Sumatera Utara,Beras Medium I,14850.0,15931.818181818182,-1081.818181818182,-6.79,0.0,14850.0,14878.333333333334,3.862282865557491e-05,2026,3,13,1,SURPLUS
2026-03-25,Sumatera Utara,Beras Medium I,14850.0,15940.90909090909,-1090.90909090909,-6.84,0.0,14850.0,14875.0,3.862282865557491e-05,2026,3,13,2,SURPLUS
2026-03-26,Sumatera Utara,Beras Medium I,14850.0,15942.424242424242,-1092.424242424242,-6.85,0.0,14850.0,14871.666666666666,3.862282865557491e-05,2026,3,13,3,SURPLUS
2026-03-27,Sumatera Utara,Beras Medium I,14850.0,15942.424242424242,-1092.424242424242,-6.85,0.0,14850.0,14868.333333333334,3.862282865557491e-05,2026,3,13,4,SURPLUS
2026-03-30,Sumatera Utara,Beras Medium I,14850.0,15956.060606060606,-1106.060606060606,-6.93,0.0,14850.0,14865.0,3.862282865557491e-05,2026,3,14,0,SURPLUS
2026-03-31,Sumatera Utara,Beras Medium I,14850.0,15960.60606060606,-1110.60606060606,-6.96,0.0,14850.0,14861.666666666666,3.862282865557491e-05,2026,3,14,1,SURPLUS
2026-04-01,Sumatera Utara,Beras Medium I,14950.0,15965.151515151516,-1015.1515151515159,-6.36,100.0,14864.285714285714,14861.666666666666,37.79644730094182,2026,4,14,2,SURPLUS
2026-04-02,Sumatera Utara,Beras Medium I,14950.0,15965.151515151516,-1015.1515151515159,-6.36,0.0,14878.57142857143,14861.666666666666,48.79500364744113,2026,4,14,3,SURPLUS
2026-04-03,Sumatera Utara,Beras Medium I,14950.0,15945.454545454546,-995.454545454546,-6.24,0.0,14892.857142857143,14863.333333333334,53.452248382497935,2026,4,14,4,SURPLUS
2026-04-06,Sumatera Utara,Beras Medium I,14850.0,15981.818181818182,-1131.818181818182,-7.08,-100.0,14892.857142857143,14860.0,53.452248382497935,2026,4,15,0,SURPLUS
2026-04-07,Sumatera Utara,Beras Medium I,14850.0,15995.454545454546,-1145.454545454546,-7.16,0.0,14892.857142857143,14856.666666666666,53.452248382497935,2026,4,15,1,SURPLUS
2026-04-08,Sumatera Utara,Beras Medium I,14850.0,15983.333333333334,-1133.333333333334,-7.09,0.0,14892.857142857143,14853.333333333334,53.452248382497935,2026,4,15,2,SURPLUS
2026-04-09,Sumatera Utara,Beras Medium I,14850.0,15989.39393939394,-1139.39393939394,-7.13,0.0,14892.857142857143,14850.0,53.452248382497935,2026,4,15,3,SURPLUS
2026-04-10,Sumatera Utara,Beras Medium I,14850.0,16010.60606060606,-1160.60606060606,-7.25,0.0,14878.57142857143,14851.666666666666,48.79500364744113,2026,4,15,4,SURPLUS
2026-04-13,Sumatera Utara,Beras Medium I,14850.0,16113.636363636364,-1263.636363636364,-7.84,0.0,14864.285714285714,14853.333333333334,37.79644730094182,2026,4,16,0,SURPLUS
2026-01-01,Aceh,Minyak Goreng Curah,19900.0,18851.612903225807,1048.3870967741932,5.56,,19900.0,19900.0,,2026,1,1,3,DEFISIT
2026-01-02,Aceh,Minyak Goreng Curah,19750.0,18843.548387096773,906.4516129032272,4.81,-150.0,19825.0,19825.0,106.06601717798213,2026,1,1,4,NORMAL
2026-01-05,Aceh,Minyak Goreng Curah,19600.0,18840.322580645163,759.6774193548372,4.03,-150.0,19750.0,19750.0,150.0,2026,1,2,0,NORMAL
2026-01-06,Aceh,Minyak Goreng Curah,19600.0,18832.25806451613,767.7419354838712,4.08,0.0,19712.5,19712.5,143.61406616345073,2026,1,2,1,NORMAL
2026-01-07,Aceh,Minyak Goreng Curah,19400.0,18822.58064516129,577.4193548387084,3.07,-200.0,19650.0,19650.0,187.08286933869707,2026,1,2,2,NORMAL
2026-01-08,Aceh,Minyak Goreng Curah,19400.0,18822.58064516129,577.4193548387084,3.07,0.0,19608.333333333332,19608.333333333332,196.00170067289366,2026,1,2,3,NORMAL
2026-01-09,Aceh,Minyak Goreng Curah,19350.0,18825.8064516129,524.1935483870984,2.78,-50.0,19571.428571428572,19571.428571428572,203.8323307221375,2026,1,2,4,NORMAL
2026-01-12,Aceh,Minyak Goreng Curah,19350.0,18803.225806451614,546.7741935483864,2.91,0.0,19492.85714285714,19543.75,156.6007966895728,2026,1,3,0,NORMAL
2026-01-13,Aceh,Minyak Goreng Curah,19350.0,18816.129032258064,533.8709677419356,2.84,0.0,19435.714285714286,19522.222222222223,114.4344270542629,2026,1,3,1,NORMAL
2026-01-14,Aceh,Minyak Goreng Curah,19350.0,18811.290322580644,538.709677419356,2.86,0.0,19400.0,19505.0,91.28709291752473,2026,1,3,2,NORMAL
2026-01-15,Aceh,Minyak Goreng Curah,19350.0,18812.90322580645,537.0967741935492,2.85,0.0,19364.285714285714,19490.909090909092,24.397501823708907,2026,1,3,3,NORMAL
2026-01-16,Aceh,Minyak Goreng Curah,19350.0,18812.90322580645,537.0967741935492,2.85,0.0,19357.14285714286,19479.166666666668,18.89822365045674,2026,1,3,4,NORMAL
2026-01-19,Aceh,Minyak Goreng Curah,18900.0,18809.677419354837,90.32258064516282,0.48,-450.0,19285.714285714286,19434.615384615383,170.08401285415238,2026,1,4,0,NORMAL
2026-01-20,Aceh,Minyak Goreng Curah,18900.0,18817.74193548387,82.2580645161288,0.44,0.0,19221.428571428572,19396.428571428572,219.57751641342023,2026,1,4,1,NORMAL
2026-01-21,Aceh,Minyak Goreng Curah,18900.0,18812.90322580645,87.09677419354921,0.46,0.0,19157.14285714286,19363.333333333332,240.5351177211824,2026,1,4,2,NORMAL
2026-01-22,Aceh,Minyak Goreng Curah,18900.0,18816.129032258064,83.8709677419356,0.45,0.0,19092.85714285714,19334.375,240.5351177211824,2026,1,4,3,NORMAL
2026-01-23,Aceh,Minyak Goreng Curah,18900.0,18817.74193548387,82.2580645161288,0.44,0.0,19028.571428571428,19308.823529411766,219.57751641342023,2026,1,4,4,NORMAL
2026-01-26,Aceh,Minyak Goreng Curah,19100.0,18827.41935483871,272.5806451612916,1.45,200.0,18992.85714285714,19297.222222222223,174.23301310929264,2026,1,5,0,NORMAL
2026-01-27,Aceh,Minyak Goreng Curah,19100.0,18830.645161290322,269.354838709678,1.43,0.0,18957.14285714286,19286.842105263157,97.59000729485325,2026,1,5,1,NORMAL
2026-01-28,Aceh,Minyak Goreng Curah,19100.0,18824.1935483871,275.8064516129016,1.47,0.0,18985.714285714286,19277.5,106.90449676497043,2026,1,5,2,NORMAL
2026-01-29,Aceh,Minyak Goreng Curah,19100.0,18825.8064516129,274.1935483870984,1.46,0.0,19014.285714285714,19269.04761904762,106.9044967649715,2026,1,5,3,NORMAL
2026-01-30,Aceh,Minyak Goreng Curah,19100.0,18864.516129032258,235.4838709677424,1.25,0.0,19042.85714285714,19261.363636363636,97.5900072948567,2026,1,5,4,NORMAL
2026-02-02,Aceh,Minyak Goreng Curah,19150.0,18872.58064516129,277.4193548387084,1.47,50.0,19078.571428571428,19256.521739130436,80.91735937127542,2026,2,6,0,NORMAL
2026-02-03,Aceh,Minyak Goreng Curah,19150.0,18891.935483870966,258.064516129034,1.37,0.0,19114.285714285714,19252.083333333332,24.397501823743077,2026,2,6,1,NORMAL
2026-02-04,Aceh,Minyak Goreng Curah,19150.0,18900.0,250.0,1.32,0.0,19121.428571428572,19248.0,26.726124191271268,2026,2,6,2,NORMAL
2026-02-05,Aceh,Minyak Goreng Curah,19150.0,18967.74193548387,182.2580645161288,0.96,0.0,19128.571428571428,19244.23076923077,26.726124191273094,2026,2,6,3,NORMAL
2026-02-06,Aceh,Minyak Goreng Curah,19250.0,18940.322580645163,309.6774193548372,1.64,100.0,19150.0,19244.444444444445,50.00000000001839,2026,2,6,4,NORMAL
2026-02-09,Aceh,Minyak Goreng Curah,19250.0,18922.58064516129,327.4193548387084,1.73,0.0,19171.428571428572,19244.64285714286,56.69467095140188,2026,2,7,0,NORMAL
2026-02-10,Aceh,Minyak Goreng Curah,19250.0,18927.41935483871,322.5806451612916,1.7,0.0,19192.85714285714,19244.827586206895,53.4522483825056,2026,2,7,1,NORMAL
2026-02-11,Aceh,Minyak Goreng Curah,19250.0,18929.032258064515,320.9677419354848,1.7,0.0,19207.14285714286,19245.0,53.452248382507435,2026,2,7,2,NORMAL
2026-02-12,Aceh,Minyak Goreng Curah,19250.0,18933.870967741936,316.1290322580644,1.67,0.0,19221.428571428572,19223.333333333332,48.79500364745326,2026,2,7,3,NORMAL
2026-02-13,Aceh,Minyak Goreng Curah,19250.0,18982.25806451613,267.7419354838712,1.41,0.0,19235.714285714286,19206.666666666668,37.79644730096006,2026,2,7,4,NORMAL
2026-02-16,Aceh,Minyak Goreng Curah,19350.0,18940.322580645163,409.6774193548372,2.16,100.0,19264.285714285714,19198.333333333332,37.79644730096602,2026,2,8,0,NORMAL
2026-02-17,Aceh,Minyak Goreng Curah,19350.0,18940.322580645163,409.6774193548372,2.16,0.0,19278.571428571428,19190.0,48.79500364746303,2026,2,8,1,NORMAL
2026-02-18,Aceh,Minyak Goreng Curah,19400.0,18969.354838709678,430.645161290322,2.27,50.0,19300.0,19190.0,64.54972243682063,2026,2,8,2,NORMAL
2026-02-19,Aceh,Minyak Goreng Curah,19400.0,18969.354838709678,430.645161290322,2.27,0.0,19321.428571428572,19190.0,69.86381310060773,2026,2,8,3,NORMAL
2026-02-20,Aceh,Minyak Goreng Curah,19400.0,18972.58064516129,427.4193548387084,2.25,0.0,19342.85714285714,19191.666666666668,67.25927091348937,2026,2,8,4,NORMAL
2026-02-23,Aceh,Minyak Goreng Curah,19400.0,18974.1935483871,425.8064516129016,2.24,0.0,19364.285714285714,19193.333333333332,55.634864026464804,2026,2,9,0,NORMAL
2026-02-24,Aceh,Minyak Goreng Curah,19400.0,19011.290322580644,388.709677419356,2.04,0.0,19385.714285714286,19195.0,24.39750182382963,2026,2,9,1,NORMAL
2026-02-25,Aceh,Minyak Goreng Curah,19400.0,19012.90322580645,387.0967741935492,2.04,0.0,19392.85714285714,19196.666666666668,18.898223650616394,2026,2,9,2,NORMAL
2026-02-26,Aceh,Minyak Goreng Curah,19400.0,19014.516129032258,385.4838709677424,2.03,0.0,19400.0,19198.333333333332,7.789443061238602e-05,2026,2,9,3,NORMAL
2026-02-27,Aceh,Minyak Goreng Curah,19400.0,19017.74193548387,382.2580645161288,2.01,0.0,19400.0,19200.0,7.789443061238602e-05,2026,2,9,4,NORMAL
2026-03-02,Aceh,Minyak Goreng Curah,19400.0,19012.90322580645,387.0967741935492,2.04,0.0,19400.0,19216.666666666668,7.789443061238602e-05,2026,3,10,0,NORMAL
2026-03-03,Aceh,Minyak Goreng Curah,19400.0,19024.1935483871,375.8064516129016,1.98,0.0,19400.0,19233.333333333332,7.789443061238602e-05,2026,3,10,1,NORMAL
2026-03-04,Aceh,Minyak Goreng Curah,19400.0,19041.935483870966,358.064516129034,1.88,0.0,19400.0,19250.0,7.789443061238602e-05,2026,3,10,2,NORMAL
2026-03-05,Aceh,Minyak Goreng Curah,19400.0,19043.548387096773,356.4516129032272,1.87,0.0,19400.0,19266.666666666668,7.789443061238602e-05,2026,3,10,3,NORMAL
2026-03-06,Aceh,Minyak Goreng Curah,19400.0,19020.967741935485,379.0322580645152,1.99,0.0,19400.0,19283.333333333332,7.789443061238602e-05,2026,3,10,4,NORMAL
2026-03-09,Aceh,Minyak Goreng Curah,19400.0,19029.032258064515,370.9677419354848,1.95,0.0,19400.0,19293.333333333332,7.789443061238602e-05,2026,3,11,0,NORMAL
2026-03-10,Aceh,Minyak Goreng Curah,19400.0,19067.74193548387,332.2580645161288,1.74,0.0,19400.0,19303.333333333332,7.789443061238602e-05,2026,3,11,1,NORMAL
2026-03-11,Aceh,Minyak Goreng Curah,19650.0,19146.774193548386,503.2258064516136,2.63,250.0,19435.714285714286,19321.666666666668,94.49111825234476,2026,3,11,2,NORMAL
2026-03-12,Aceh,Minyak Goreng Curah,19650.0,19251.612903225807,398.3870967741932,2.07,0.0,19471.428571428572,19340.0,121.98750911860085,2026,3,11,3,NORMAL
2026-03-13,Aceh,Minyak Goreng Curah,19650.0,19287.09677419355,362.9032258064508,1.88,0.0,19507.14285714286,19358.333333333332,133.63062095624758,2026,3,11,4,NORMAL
2026-03-16,Aceh,Minyak Goreng Curah,20000.0,19469.354838709678,530.645161290322,2.73,350.0,19592.85714285714,19386.666666666668,218.762754730221,2026,3,12,0,NORMAL
2026-03-17,Aceh,Minyak Goreng Curah,20100.0,19659.677419354837,440.3225806451628,2.24,100.0,19692.85714285714,19418.333333333332,269.9206232527588,2026,3,12,1,NORMAL
2026-03-18,Aceh,Minyak Goreng Curah,20100.0,19662.90322580645,437.0967741935492,2.22,0.0,19792.85714285714,19450.0,272.99049346786273,2026,3,12,2,NORMAL
2026-03-19,Aceh,Minyak Goreng Curah,20100.0,19654.83870967742,445.1612903225796,2.26,0.0,19892.85714285714,19481.666666666668,229.90681342048904,2026,3,12,3,NORMAL
2026-03-20,Aceh,Minyak Goreng Curah,20100.0,19656.451612903227,443.5483870967728,2.26,0.0,19957.14285714286,19510.0,212.9721645125614,2026,3,12,4,NORMAL
2026-03-23,Aceh,Minyak Goreng Curah,20100.0,19670.967741935485,429.0322580645152,2.18,0.0,20021.428571428572,19538.333333333332,167.9710859472855,2026,3,13,0,NORMAL
2026-03-24,Aceh,Minyak Goreng Curah,20100.0,19670.967741935485,429.0322580645152,2.18,0.0,20085.714285714286,19566.666666666668,37.796447301275784,2026,3,13,1,NORMAL
2026-03-25,Aceh,Minyak Goreng Curah,20100.0,19745.16129032258,354.8387096774204,1.8,0.0,20100.0,19595.0,0.00016471347886189237,2026,3,13,2,NORMAL
2026-03-26,Aceh,Minyak Goreng Curah,20100.0,19758.064516129034,341.935483870966,1.73,0.0,20100.0,19623.333333333332,0.00016471347886189237,2026,3,13,3,NORMAL
2026-03-27,Aceh,Minyak Goreng Curah,20100.0,19758.064516129034,341.935483870966,1.73,0.0,20100.0,19651.666666666668,0.00016471347886189237,2026,3,13,4,NORMAL
2026-03-30,Aceh,Minyak Goreng Curah,20250.0,19843.548387096773,406.4516129032272,2.05,150.0,20121.428571428572,19681.666666666668,56.694670951629085,2026,3,14,0,NORMAL
2026-03-31,Aceh,Minyak Goreng Curah,20250.0,19840.322580645163,409.6774193548372,2.06,0.0,20142.85714285714,19711.666666666668,73.19250547133404,2026,3,14,1,NORMAL
2026-04-01,Aceh,Minyak Goreng Curah,20250.0,19851.612903225807,398.3870967741932,2.01,0.0,20164.285714285714,19740.0,80.17837257390825,2026,4,14,2,NORMAL
2026-04-02,Aceh,Minyak Goreng Curah,20250.0,19870.967741935485,379.0322580645152,1.91,0.0,20185.714285714286,19768.333333333332,80.17837257391218,2026,4,14,3,NORMAL
2026-04-03,Aceh,Minyak Goreng Curah,20250.0,19933.870967741936,316.1290322580644,1.59,0.0,20207.14285714286,19796.666666666668,73.19250547134696,2026,4,14,4,NORMAL
2026-04-06,Aceh,Minyak Goreng Curah,20350.0,19908.064516129034,441.935483870966,2.22,100.0,20242.85714285714,19828.333333333332,73.19250547135414,2026,4,15,0,NORMAL
2026-04-07,Aceh,Minyak Goreng Curah,20350.0,19943.548387096773,406.4516129032272,2.04,0.0,20278.571428571428,19860.0,48.795003647758016,2026,4,15,1,NORMAL
2026-04-08,Aceh,Minyak Goreng Curah,20600.0,19982.25806451613,617.7419354838712,3.09,250.0,20328.571428571428,19900.0,128.63754913575076,2026,4,15,2,NORMAL
2026-04-09,Aceh,Minyak Goreng Curah,20600.0,20138.709677419356,461.290322580644,2.29,0.0,20378.571428571428,19940.0,157.73697214346225,2026,4,15,3,NORMAL
2026-04-10,Aceh,Minyak Goreng Curah,20600.0,20106.451612903227,493.5483870967728,2.45,0.0,20428.571428571428,19980.0,165.4719081324344,2026,4,15,4,NORMAL
2026-04-13,Aceh,Minyak Goreng Curah,20600.0,20133.870967741936,466.1290322580644,2.32,0.0,20478.571428571428,20020.0,155.07294750425294,2026,4,16,0,NORMAL
2026-01-01,Bali,Minyak Goreng Curah,19450.0,18851.612903225807,598.3870967741932,3.17,,19450.0,19450.0,,2026,1,1,3,NORMAL
2026-01-02,Bali,Minyak Goreng Curah,19450.0,18843.548387096773,606.4516129032272,3.22,0.0,19450.0,19450.0,0.0,2026,1,1,4,NORMAL
2026-01-05,Bali,Minyak Goreng Curah,19450.0,18840.322580645163,609.6774193548372,3.24,0.0,19450.0,19450.0,0.0,2026,1,2,0,NORMAL
2026-01-06,Bali,Minyak Goreng Curah,19450.0,18832.25806451613,617.7419354838712,3.28,0.0,19450.0,19450.0,0.0,2026,1,2,1,NORMAL
2026-01-07,Bali,Minyak Goreng Curah,19450.0,18822.58064516129,627.4193548387084,3.33,0.0,19450.0,19450.0,0.0,2026,1,2,2,NORMAL
2026-01-08,Bali,Minyak Goreng Curah,19450.0,18822.58064516129,627.4193548387084,3.33,0.0,19450.0,19450.0,0.0,2026,1,2,3,NORMAL
2026-01-09,Bali,Minyak Goreng Curah,19450.0,18825.8064516129,624.1935483870984,3.32,0.0,19450.0,19450.0,0.0,2026,1,2,4,NORMAL
2026-01-12,Bali,Minyak Goreng Curah,19450.0,18803.225806451614,646.7741935483864,3.44,0.0,19450.0,19450.0,0.0,2026,1,3,0,NORMAL
